"cntry","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","ppltrst","pplfair","pplhlp","trstprl","trstlgl","trstplc","trstplt","trstprt","psppsgva","actrolga","psppipla","cptppola","polintr"
"ES",0,0,0,0,0,0,0,0,0,0,5,5,3,5,7,10,2,5,2,2,1,3,3
"ES",0,0,0,0,0,0,0,0,0,0,3,3,2,4,0,5,0,0,1,1,1,1,2
"ES",0,0,0,0,0,0,0,0,0,0,7,4,5,88,8,8,88,88,8,1,3,1,4
"ES",0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,2,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,1,7,2,5,5,8,5,3,1,2,2,1,4
"ES",0,0,0,0,0,0,0,0,0,0,6,7,6,2,2,2,1,1,2,2,2,3,3
"ES",0,0,0,0,0,0,0,0,0,0,6,7,7,6,7,7,6,5,2,1,2,2,2
"ES",0,0,0,0,0,0,0,0,0,0,6,6,5,1,8,8,1,1,2,2,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,5,8,3,5,3,10,0,0,2,1,1,2,4
"ES",0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,0,2,2,2,1,3,1
"ES",0,0,0,0,0,0,0,0,0,0,7,5,2,5,0,7,0,0,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,5,8,4,6,8,10,2,2,3,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,4,6,4,2,2,3,2,2,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,8,5,5,6,6,7,9,3,2,2,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,8,5,6,6,3,7,3,5,3,1,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,9,8,5,2,3,5,4,4,2,4,2,5,1
"ES",0,0,0,0,0,0,0,0,0,0,3,5,3,3,4,6,2,4,1,1,2,2,3
"ES",0,0,0,0,0,0,0,0,0,0,5,4,3,88,3,8,5,4,8,1,8,1,4
"ES",0,0,0,0,0,0,0,0,0,0,7,5,7,4,4,7,5,5,3,1,1,2,2
"ES",0,0,0,0,0,0,0,0,0,0,6,7,3,5,8,3,5,10,2,2,4,2,2
"ES",0,0,0,0,0,0,0,0,0,0,5,2,8,3,8,8,5,5,2,2,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,5,3,1,3,0,4,0,0,2,2,2,2,3
"ES",0,0,0,0,0,0,0,0,0,0,7,6,4,7,2,6,1,1,2,2,2,8,4
"ES",0,0,0,0,0,0,0,0,0,0,5,5,5,8,8,8,8,8,2,1,2,8,3
"ES",0,0,0,0,0,0,0,0,0,0,3,6,1,5,5,7,5,5,2,2,2,8,4
"ES",0,0,0,0,0,0,0,0,0,0,6,6,6,8,5,5,5,5,4,2,4,2,2
"ES",0,0,0,0,0,0,0,0,0,0,6,8,6,7,7,10,3,5,4,2,3,3,3
"ES",0,0,0,0,0,0,0,0,0,0,3,88,0,7,8,9,2,5,8,8,8,8,4
"ES",0,0,0,0,0,0,0,0,0,0,0,88,3,88,88,9,1,1,1,8,1,8,4
"ES",0,0,0,0,0,0,0,0,0,0,3,88,8,88,88,8,4,4,8,8,8,8,4
"ES",0,0,0,0,0,0,0,0,0,0,5,5,5,8,8,10,5,5,3,1,3,1,1
"ES",0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,88,88,8,8,8,8,3
"ES",0,0,0,0,0,0,0,0,0,0,8,8,4,8,8,8,4,4,3,2,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,7,88,5,5,5,7,2,2,8,1,8,8,4
"ES",0,0,0,0,0,0,0,0,0,0,2,5,0,7,7,7,7,1,3,1,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,3,88,1,4,5,5,4,4,3,1,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,7,7,5,7,7,7,7,7,2,1,2,8,3
"ES",0,0,0,0,0,0,0,0,0,0,9,88,88,88,10,10,88,88,2,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,5,88,5,5,5,5,4,4,8,1,3,8,2
"ES",0,0,0,0,0,0,0,0,0,0,6,6,3,5,5,9,5,5,8,8,8,8,3
"ES",0,0,0,0,0,0,0,0,0,0,8,8,8,9,9,9,88,88,8,8,8,8,4
"ES",0,0,0,0,0,0,0,0,0,0,0,88,0,88,88,88,0,0,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,2,88,0,5,5,5,0,3,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,5,5,5,5,9,9,2,2,8,8,8,8,3
"ES",0,0,0,0,0,0,0,0,0,0,3,5,3,10,10,10,3,5,2,1,2,8,4
"ES",0,0,0,0,0,0,0,0,0,0,2,88,2,88,8,8,0,0,2,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,9,5,5,10,10,10,5,5,8,8,3,8,3
"ES",0,0,0,0,0,0,0,0,0,0,8,8,7,3,0,10,0,0,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,8,7,7,3,3,5,3,4,2,2,2,1,2
"ES",0,0,0,0,0,0,0,0,0,0,5,4,3,6,4,6,3,3,1,1,1,1,4
"ES",0,0,0,0,0,0,1,0,0,0,6,8,8,6,7,7,5,5,2,2,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,5,0,0,2,1,2,2,1
"ES",0,0,0,0,0,0,0,0,0,0,7,10,7,8,9,8,5,2,3,1,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,3,1,1,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,5,5,9,0,0,8,0,0,1,1,3,1,1
"ES",0,0,0,0,0,0,0,0,0,0,7,6,3,6,7,8,5,2,2,3,2,3,2
"ES",0,0,0,0,0,0,0,0,0,0,6,8,8,1,0,3,0,0,1,1,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,7,6,5,6,7,7,6,6,4,2,3,2,2
"ES",0,0,0,0,0,0,0,0,0,0,5,5,7,6,7,8,5,4,3,2,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,5,10,5,5,2,7,5,5,3,2,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,5,9,7,10,5,10,5,4,3,2,4,3,2
"ES",0,0,0,0,0,0,0,0,0,0,6,6,5,5,8,4,3,3,3,2,2,2,2
"ES",0,0,1,0,0,0,0,0,0,0,8,7,4,9,10,10,6,4,2,4,2,3,2
"ES",0,0,0,0,0,0,0,0,0,0,5,5,8,4,6,7,0,0,2,4,3,3,2
"ES",0,0,0,0,0,0,0,0,0,0,4,6,3,4,2,8,1,1,2,2,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,7,5,6,4,5,5,7,7,2,4,2,2,3
"ES",0,0,0,0,0,0,0,0,0,0,3,8,7,4,2,5,2,3,2,3,3,3,2
"ES",0,0,0,0,0,0,0,0,0,0,5,6,3,4,2,8,2,3,2,3,2,3,3
"ES",0,0,0,0,0,0,0,0,0,0,9,7,4,1,1,1,3,5,2,3,2,3,1
"ES",0,0,0,0,0,0,0,0,0,0,8,6,7,6,4,8,2,6,4,2,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,5,0,0,1,2,2,2,2
"ES",0,0,0,0,0,0,0,0,0,0,5,6,7,0,3,8,0,0,2,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,8,6,7,6,3,7,4,5,1,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,8,7,3,0,8,8,0,0,1,1,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,7,2,6,6,3,6,0,0,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,6,8,10,7,8,9,4,4,2,2,2,1,2
"ES",0,0,0,0,0,0,0,0,0,0,6,4,2,4,2,4,1,2,1,1,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,8,7,7,0,5,6,0,0,1,2,1,3,1
"ES",0,0,0,0,0,0,0,0,0,0,9,7,3,0,0,7,0,0,3,2,3,2,2
"ES",0,0,0,0,0,0,0,0,0,0,6,6,4,8,5,5,6,7,2,2,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,5,8,8,4,4,3,3,3,3,3,3,4,2
"ES",0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,7,4,4,1,5,1,3,2
"ES",0,0,0,0,0,0,0,0,0,0,9,9,8,5,2,4,1,1,2,1,1,2,4
"ES",0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,5,0,0,4,3,2,4,1
"ES",0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,5,0,0,2,1,1,1,4
"ES",0,0,0,0,0,0,1,0,0,0,5,7,4,2,2,5,1,0,1,2,2,2,1
"ES",0,0,0,0,0,0,0,0,0,0,5,5,1,2,3,6,0,1,2,2,2,3,2
"ES",0,0,0,0,0,0,0,0,0,0,4,4,4,5,7,8,8,8,4,4,4,5,1
"ES",0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,7,2,4,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,5,0,0,2,1,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,6,5,1,1,0,7,0,0,1,1,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,5,4,4,4,6,6,0,0,3,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,8,4,3,8,8,9,7,0,2,1,3,2,4
"ES",0,0,0,0,0,0,0,0,0,0,10,9,6,5,10,10,6,6,8,2,3,3,3
"ES",0,0,0,0,0,0,0,0,0,0,7,8,3,5,5,3,2,2,1,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,6,5,4,7,3,9,5,5,1,1,2,2,3
"ES",0,0,0,0,0,0,0,0,0,0,7,7,5,8,8,7,7,6,3,2,3,2,2
"ES",0,0,0,0,0,0,0,0,0,0,7,7,4,5,5,7,4,4,2,2,2,2,2
"ES",0,0,0,1,0,0,1,0,0,0,8,8,4,6,7,7,4,4,2,2,2,3,2
"ES",0,0,0,0,0,0,0,0,0,0,2,4,4,8,6,8,3,4,2,1,2,1,4
"ES",0,0,0,0,0,0,0,0,0,0,2,5,2,2,2,7,0,0,2,3,1,3,1
"ES",0,0,0,0,0,0,0,0,0,0,5,5,1,7,6,9,3,5,2,4,4,4,2
"ES",0,0,0,0,0,0,0,0,0,0,7,8,4,6,6,8,1,2,2,2,2,3,4
"ES",0,0,1,0,0,0,0,0,0,0,7,6,2,4,2,5,2,3,1,1,1,4,1
"ES",0,0,0,0,0,0,0,0,0,0,3,4,4,2,4,4,1,1,2,1,1,2,3
"ES",0,0,0,0,0,0,1,0,0,0,8,8,5,6,5,8,5,5,2,2,3,2,1
"ES",0,0,0,0,0,0,0,1,1,1,3,6,2,4,2,8,1,1,2,3,2,4,1
"ES",0,0,0,0,0,0,0,0,0,0,3,5,1,1,1,8,1,2,3,2,3,3,3
"ES",0,0,0,0,0,0,0,0,0,0,4,5,3,8,5,7,4,5,2,1,2,1,4
"ES",0,0,0,0,0,0,0,0,0,0,7,8,3,6,7,8,6,5,2,1,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,8,9,4,5,8,8,3,5,3,1,1,1,1
"ES",0,0,0,0,0,0,0,0,0,0,8,8,5,4,5,8,0,0,3,3,2,3,1
"ES",0,0,0,0,0,0,0,0,0,0,3,8,3,8,8,10,5,5,2,1,3,2,4
"ES",0,0,0,0,0,0,0,0,0,0,8,6,8,5,5,8,6,5,3,2,3,3,3
"ES",0,0,0,0,0,0,0,0,0,0,6,6,7,3,3,3,2,2,3,1,1,3,1
"ES",0,0,0,0,0,0,0,0,0,0,8,8,7,6,7,7,4,4,2,1,2,2,2
"ES",0,0,0,0,0,0,0,0,0,0,4,4,4,0,4,8,0,0,1,2,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,6,7,7,0,3,8,3,4,4,2,2,4,2
"ES",0,0,0,0,0,0,0,0,0,0,5,7,7,4,6,9,2,2,1,2,2,4,1
"ES",0,0,0,0,0,0,0,0,0,0,5,2,4,4,2,6,3,3,3,2,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,2,4,4,3,4,7,2,2,3,2,3,3,1
"ES",0,1,0,0,0,0,0,0,0,0,4,4,2,3,0,5,0,0,1,2,1,1,1
"ES",0,0,0,0,0,0,0,0,0,0,7,7,6,4,4,6,4,4,4,5,4,5,3
"ES",0,0,0,0,0,0,0,0,0,0,6,5,2,5,4,8,6,5,2,1,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,7,6,7,3,3,4,0,6,2,4,3,4,2
"ES",0,0,0,0,0,0,0,0,0,0,1,7,88,8,0,6,2,1,2,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,6,8,4,3,1,5,1,4,1,1,1,2,4
"ES",0,0,0,0,0,0,0,0,0,0,7,8,5,5,4,6,6,5,2,2,4,2,3
"ES",0,0,0,0,0,0,0,0,0,0,6,3,2,7,4,8,0,0,2,1,2,2,1
"ES",0,0,0,0,0,0,0,0,0,0,7,7,5,0,4,5,3,4,3,1,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,8,8,5,4,4,8,4,4,4,1,3,1,4
"ES",0,0,0,0,0,0,0,0,0,0,7,7,5,88,7,9,5,5,2,2,2,2,3
"ES",0,0,0,0,0,0,0,0,0,0,7,7,5,8,8,7,5,5,3,2,3,3,1
"ES",0,0,1,0,0,0,0,0,0,0,3,4,4,1,3,5,2,0,4,2,2,2,1
"ES",0,0,0,0,0,0,0,0,0,0,2,7,2,2,88,8,0,0,2,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,5,5,5,2,5,5,1,1,2,5,2,4,2
"ES",0,0,0,0,0,0,0,0,0,0,5,5,5,6,4,8,5,5,3,1,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,4,5,5,8,2,5,2,2,3,1,8,3,1
"ES",0,0,0,0,0,0,0,0,0,0,5,6,5,4,3,6,0,1,2,2,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,8,7,7,5,7,8,7,7,3,2,2,1,2
"ES",0,0,0,0,0,0,0,0,0,0,5,5,6,4,3,9,0,0,1,1,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,7,5,1,2,1,5,0,0,2,1,2,2,3
"ES",0,0,0,0,0,0,0,0,0,0,2,5,8,0,0,8,0,0,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,7,5,5,6,5,5,6,0,1,2,2,2,2
"ES",0,0,0,0,0,0,0,0,0,0,1,1,8,8,0,0,5,5,3,1,2,1,2
"ES",0,0,0,0,0,0,0,0,0,0,5,5,4,6,8,10,3,0,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,5,7,7,0,2,7,0,0,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,5,5,5,8,0,6,0,4,2,2,2,2,3
"ES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,4
"ES",0,0,0,0,0,0,0,0,0,0,1,1,1,0,5,6,0,0,1,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,4,5,5,2,1,2,0,0,2,3,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,8,8,5,0,0,3,0,0,1,2,1,2,1
"ES",0,0,0,0,0,0,0,0,0,0,6,7,2,0,0,7,0,0,2,1,2,1,4
"ES",0,0,0,0,0,0,0,0,0,0,5,6,1,5,5,7,5,5,2,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,4,4,0,8,8,8,6,6,2,2,1,2,3
"ES",0,1,0,1,0,0,0,0,0,0,4,8,0,0,0,8,0,5,1,2,1,2,1
"ES",0,0,0,0,0,0,0,0,0,0,7,8,2,7,1,4,77,5,2,2,1,2,1
"ES",0,1,0,1,0,0,0,0,0,0,5,5,5,4,7,7,4,3,4,3,4,4,1
"ES",0,0,0,0,0,0,0,0,0,0,5,5,2,5,0,8,5,5,3,4,2,5,1
"ES",0,0,0,0,0,0,0,0,0,0,8,8,5,0,0,7,0,0,2,3,1,5,1
"ES",0,0,0,0,0,0,0,0,0,0,5,1,8,0,0,10,0,0,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,5,2,5,6,6,4,1,1,3,1,3,1,3
"ES",0,0,0,0,0,0,0,0,0,0,6,2,2,1,0,8,0,0,1,1,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,5,5,1,6,4,7,0,0,5,3,3,3,4
"ES",0,0,0,0,0,0,0,0,0,0,5,6,7,4,3,5,2,1,2,3,2,3,2
"ES",0,0,0,1,0,0,0,0,0,0,7,8,7,1,1,2,2,2,2,2,2,2,3
"ES",0,0,0,0,0,0,0,0,0,0,8,7,8,0,4,88,3,3,2,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,7,8,5,3,1,6,3,3,2,3,3,3,1
"ES",0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,7,4,4,2,2,1,2,1
"ES",0,0,0,0,0,0,0,0,0,0,6,7,7,8,6,7,6,6,3,1,2,2,3
"ES",0,0,0,0,0,0,0,0,0,0,8,5,5,0,0,5,0,0,2,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,7,8,4,2,6,7,2,2,1,2,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,5,5,5,7,4,8,2,4,4,2,1,2,1
"ES",0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,1,0,1,2,3,1,3,1
"ES",0,0,0,0,0,0,0,0,0,0,5,7,4,5,5,8,2,4,1,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,1,2,2,5,6,6,6,6,4,2,4,2,5,2
"ES",0,0,0,0,0,0,0,0,0,0,8,88,5,88,5,8,8,88,8,1,8,1,4
"ES",0,0,0,0,0,0,0,0,0,0,2,3,5,7,5,1,0,0,1,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,3,5,5,3,4,8,1,0,3,2,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,6,0,0,2,1,2,1,4
"ES",0,0,0,0,0,0,0,0,0,0,6,7,5,8,8,10,8,8,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,8,1,1,4,6,9,4,4,3,2,2,3,2
"ES",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,1,2,1,3,3
"ES",0,0,0,0,0,1,1,0,0,1,7,7,5,6,4,7,2,1,2,1,2,5,4
"ES",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,1,2,1,2,1
"ES",0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,5,0,0,2,1,2,1,4
"ES",0,0,0,0,0,0,0,0,0,0,5,6,4,6,3,7,3,4,2,3,2,3,1
"ES",0,0,0,0,0,0,0,0,0,0,4,5,1,88,4,8,0,0,2,1,2,1,3
"ES",0,0,1,0,0,0,0,0,0,0,7,7,5,6,5,8,4,5,3,3,3,3,2
"ES",0,0,0,0,0,0,0,0,0,0,2,5,5,2,1,5,0,0,2,1,2,2,1
"ES",0,0,0,0,0,0,0,0,0,0,7,5,2,6,5,8,3,5,2,2,3,2,2
"ES",0,0,0,0,0,0,0,0,0,0,5,7,3,7,7,7,4,5,4,4,4,3,2
"ES",0,0,0,0,0,0,0,0,0,0,5,7,5,2,2,4,2,2,2,2,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,5,8,7,5,8,7,2,5,3,1,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,6,5,5,4,7,8,3,3,1,1,1,2,2
"ES",0,0,0,0,0,0,0,0,0,0,7,8,2,6,6,8,0,0,1,1,1,2,4
"ES",0,0,0,0,0,0,0,0,0,0,5,5,2,0,0,6,0,0,1,1,2,2,4
"ES",0,0,0,0,0,0,0,0,0,0,7,8,2,4,0,7,3,3,3,3,3,5,2
"ES",0,0,0,0,0,0,0,0,0,0,4,6,2,3,8,7,3,1,2,5,2,5,1
"ES",0,0,0,0,0,0,0,0,0,0,5,6,7,5,3,7,2,3,1,1,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,7,8,4,8,7,8,7,6,3,2,2,2,2
"ES",0,0,0,0,0,0,0,0,0,0,6,3,2,1,2,6,0,0,1,1,1,2,4
"ES",0,0,0,0,0,0,0,0,0,0,5,8,7,7,88,7,0,5,2,2,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,6,9,2,10,8,10,7,7,3,5,3,5,1
"ES",0,0,0,0,0,0,0,0,0,0,4,2,1,2,2,7,0,0,1,1,1,2,2
"ES",0,0,0,0,0,0,0,0,0,0,5,5,3,4,4,6,0,0,2,2,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,10,10,6,3,1,1,1,3,3,5,2,5,1
"ES",0,0,0,0,0,0,0,0,0,0,5,3,4,2,2,5,0,0,2,2,1,2,4
"ES",0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,2,0,0,1,2,1,2,4
"ES",0,0,0,0,0,0,0,0,0,0,2,3,3,5,7,9,5,5,2,1,2,2,3
"ES",0,0,0,0,0,0,0,0,0,0,8,8,3,0,7,6,0,0,1,4,1,5,3
"ES",0,0,0,0,0,0,0,0,0,1,0,4,5,0,0,3,0,0,5,3,1,5,1
"ES",0,0,0,0,0,0,0,0,0,0,6,6,3,4,7,9,2,1,3,1,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,2,5,5,5,7,7,5,4,3,8,3,3,2
"ES",0,0,0,0,0,0,0,0,0,0,8,6,7,6,5,8,5,5,1,3,3,2,1
"ES",0,0,0,0,0,0,0,0,0,0,8,7,6,7,7,8,6,6,4,4,4,3,1
"ES",0,0,0,0,0,0,0,0,0,0,5,8,8,7,5,7,5,5,3,3,4,3,2
"ES",0,0,0,0,0,0,0,0,0,0,8,5,7,6,6,8,5,4,3,8,4,4,1
"ES",0,0,0,0,0,0,0,0,0,0,5,5,5,8,5,8,4,3,2,2,2,2,2
"ES",0,0,0,0,0,1,1,1,0,0,8,7,7,4,4,5,3,3,3,3,3,3,3
"ES",0,0,0,0,0,0,0,0,0,0,5,6,3,3,3,5,2,2,2,2,2,3,4
"ES",0,0,0,0,0,0,0,0,0,0,3,7,9,8,10,10,8,8,4,2,1,2,1
"ES",0,0,0,0,0,0,0,0,0,0,7,7,5,5,0,7,0,0,3,1,1,1,2
"ES",0,0,0,0,0,0,0,0,0,0,2,4,3,4,5,7,0,0,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,5,5,7,2,7,7,0,0,1,1,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,5,5,3,4,2,6,3,3,1,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,2,2,2,2,3
"ES",0,0,0,0,0,0,0,0,0,0,5,8,5,0,0,6,0,3,1,3,2,3,4
"ES",0,0,0,0,0,0,0,0,0,0,5,5,4,5,4,5,0,3,1,3,2,2,2
"ES",0,0,0,0,0,0,0,0,0,0,6,8,5,5,4,7,6,4,3,2,3,3,2
"ES",0,0,0,0,0,0,0,0,0,0,4,5,5,6,2,6,4,4,5,3,3,3,2
"ES",0,0,0,0,0,0,0,0,0,0,8,8,8,1,1,0,0,2,1,4,1,2,1
"ES",0,0,0,0,0,0,0,0,0,0,8,10,8,0,10,0,0,0,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,6,5,4,2,5,2,3,4,2,1,2,1,3
"ES",0,1,0,0,0,0,0,0,0,0,7,7,8,0,0,0,0,5,1,4,1,4,1
"ES",0,0,0,0,0,0,0,0,0,0,6,7,4,2,3,5,0,0,2,1,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,5,0,0,2,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,7,7,3,3,3,5,0,0,2,1,2,1,4
"ES",0,0,0,0,0,0,0,0,0,0,5,5,6,3,5,5,3,3,2,1,1,3,3
"ES",0,0,0,0,0,0,0,0,0,0,4,6,4,0,2,8,2,4,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,7,7,7,4,5,7,4,4,1,3,1,3,1
"ES",0,0,0,0,0,0,0,0,0,0,4,5,5,4,4,6,4,3,2,1,3,1,3
"ES",0,0,0,0,0,0,0,0,0,0,5,6,4,1,3,7,1,2,1,2,2,2,3
"ES",0,0,0,0,0,0,0,0,0,0,5,7,4,88,5,8,5,5,3,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,7,5,4,5,5,7,1,3,2,2,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,6,5,5,4,5,5,0,2,3,3,2,3,3
"ES",0,0,0,0,0,0,0,0,0,0,8,9,9,4,4,6,3,1,1,3,1,3,2
"ES",0,0,0,0,0,0,0,0,0,0,7,7,6,3,3,6,1,1,3,4,3,4,1
"ES",0,1,0,0,0,0,0,1,0,1,5,5,6,0,0,0,0,0,2,4,2,4,1
"ES",0,0,0,0,0,0,0,0,0,0,6,6,3,7,5,8,2,2,2,2,2,2,3
"ES",0,0,0,0,0,0,0,0,0,0,5,8,6,5,4,9,2,2,3,1,3,1,2
"ES",0,0,1,0,0,0,0,0,0,0,5,4,4,5,5,5,0,0,4,1,3,4,1
"ES",0,0,0,0,0,0,0,0,0,0,5,5,5,0,2,5,0,0,2,2,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,8,8,7,7,8,8,6,6,4,3,3,3,1
"ES",0,0,0,0,0,0,0,0,0,0,10,6,6,9,7,10,5,5,2,1,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,6,5,3,3,3,2,2,4,1,1,2,3,1
"ES",0,0,0,0,0,0,1,0,0,0,7,7,6,2,2,0,3,3,1,2,1,3,1
"ES",0,0,0,0,0,0,0,0,0,0,4,6,7,1,1,6,0,1,2,1,2,2,2
"ES",0,0,0,0,0,0,0,0,0,0,5,3,3,9,7,9,5,6,2,1,8,1,4
"ES",0,0,0,0,0,0,0,0,0,0,6,7,8,7,5,10,0,0,2,3,1,5,1
"ES",0,0,0,0,0,0,0,0,0,0,7,7,5,8,5,7,5,6,3,2,3,2,2
"ES",0,0,0,0,0,0,0,0,0,0,8,8,4,8,6,10,5,5,8,1,8,1,4
"ES",0,0,0,0,0,0,0,0,0,0,2,3,2,5,2,6,2,3,1,1,2,1,3
"ES",0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,6,0,0,1,1,2,1,4
"ES",0,0,0,0,0,0,0,0,0,0,3,4,2,6,6,8,3,5,8,1,8,1,4
"ES",0,0,0,0,0,0,0,0,0,0,3,5,2,8,6,9,1,0,2,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,6,5,3,5,3,5,1,1,3,1,1,1,3
"ES",0,0,0,0,0,0,0,0,0,0,2,8,1,5,0,5,0,5,1,2,3,2,3
"ES",0,0,0,0,0,0,0,0,0,0,3,6,1,3,0,5,3,4,2,2,2,2,2
"ES",0,0,0,0,0,0,0,0,0,0,6,6,4,88,88,7,3,4,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,2,2,1,6,4,8,0,0,1,1,1,1,4
"ES",0,0,0,0,0,0,0,0,0,0,6,6,3,3,5,8,0,0,1,1,1,2,3
"ES",0,0,0,0,0,0,0,0,0,0,3,4,2,88,6,8,3,2,1,1,2,1,4
"ES",0,0,0,0,0,0,0,0,0,0,7,8,7,2,0,3,0,0,2,2,2,2,2
